Name,Platform,Year,Genre,Publisher
Wii Sports,Wii,2006,Sports,Nintendo
Super Mario Bros.,NES,1985,Platform,Nintendo
Mario Kart Wii,Wii,2008,Racing,Nintendo
Wii Sports Resort,Wii,2009,Sports,Nintendo
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo
Tetris,GB,1989,Puzzle,Nintendo
New Super Mario Bros.,DS,2006,Platform,Nintendo
Wii Play,Wii,2006,Misc,Nintendo
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo
Duck Hunt,NES,1984,Shooter,Nintendo
Nintendogs,DS,2005,Simulation,Nintendo
Mario Kart DS,DS,2005,Racing,Nintendo
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo
Wii Fit,Wii,2007,Sports,Nintendo
Wii Fit Plus,Wii,2009,Sports,Nintendo
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive
Super Mario World,SNES,1990,Platform,Nintendo
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo
Super Mario Land,GB,1989,Platform,Nintendo
Super Mario Bros. 3,NES,1988,Platform,Nintendo
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo
Call of Duty: Black Ops,X360,2010,Shooter,Activision
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision
Call of Duty: Black Ops II,X360,2012,Shooter,Activision
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo
