US_Sales,EU_Sales,Asia_Sales,Global_Sales
41.49,29.02,3.77,82.74
29.08,3.58,6.81,40.24
15.85,12.88,3.79,35.82
15.75,11.01,3.28,33
11.27,8.89,10.22,31.37
23.2,2.26,4.22,30.26
11.38,9.23,6.5,30.01
14.03,9.2,2.93,29.02
14.59,7.06,4.7,28.62
26.93,0.63,0.28,28.31
9.07,11,1.93,24.76
9.81,7.57,4.13,23.42
9,6.18,7.2,23.1
8.94,8.03,3.6,22.72
9.09,8.59,2.53,22
14.97,4.94,0.24,21.82
7.01,9.27,0.97,21.4
9.43,0.4,0.41,20.81
12.78,3.75,3.54,20.61
4.75,9.26,4.16,20.22
6.42,4.52,6.04,18.36
10.83,2.71,4.18,18.14
9.54,3.44,3.84,17.28
9.63,5.31,0.06,16.38
8.41,5.49,0.47,16.15
6.06,3.9,5.38,15.85
5.57,3.28,5.65,15.32
3.44,5.36,5.32,15.3
9.03,4.28,0.13,14.76
5.89,5.04,3.12,14.64
9.67,3.73,0.11,14.64
5.17,4.05,4.34,14.35
5.77,5.81,0.35,14.24
4.99,5.88,0.65,14.03
8.25,4.3,0.07,13.73
8.52,3.63,0.08,13.51
5.54,5.82,0.49,13.46
6.99,4.51,0.3,13.1
6.75,2.61,2.66,13.04
5.98,4.44,0.48,12.73
2.55,3.52,5.33,12.27
4.74,3.91,2.67,12.21
7.97,2.83,0.13,12.14
3.8,5.81,0.36,11.98
4.4,2.77,3.96,11.9
6.91,2.85,1.91,11.89
6.16,3.4,1.2,11.52
4.23,3.37,3.08,11.33
6.16,2.04,2.69,11.18
6.76,3.1,0.14,11.02
4.89,2.99,2.13,10.79
4.99,3.69,0.38,10.69
4.76,3.76,0.44,10.57
5.99,2.15,2.12,10.55
4.34,2.65,3.15,10.49
5.08,3.11,1.25,10.42
6.05,3.15,0,10.26
6.72,2.63,0.04,10.21
7.03,1.98,0.08,9.88
5.55,1.94,2.23,9.87
3.66,3.07,2.47,9.82
6.63,2.36,0.04,9.76
4.09,3.73,0.38,9.59
5.84,2.89,0.01,9.52
5.91,2.38,0.13,9.32
4.36,1.71,3,9.3
5.58,2.83,0.02,9.2
2.01,2.32,4.36,9.09
4.46,1.88,1.98,9.02
3.54,1.24,3.81,8.76
1.79,3.53,2.49,8.49
6.82,1.53,0.05,8.49
3.81,2.3,1.58,8.42
2.91,1.86,3.14,8.33
5.8,2.01,0.13,8.09
2.82,1.78,2.69,7.84
2.9,2.83,0.24,7.72
3.66,2.42,0.98,7.69
2.8,3.3,0.14,7.6
4.1,1.89,1.45,7.6
5.39,1.18,0.7,7.46
3.24,1.35,2.42,7.45
4.79,1.9,0,7.37
3.83,2.19,0.6,7.31
4.52,2.09,0.01,7.3
3.51,3.03,0,7.27
4.41,1.04,1.39,7.07
3.13,2.07,1.27,6.96
4.12,1.77,0.87,6.95
4.14,2.21,0,6.91
4.15,1.92,0.06,6.76
3.1,2.3,0.28,6.72
1.67,2.78,1.6,6.67
2.79,2.61,0.17,6.6
3.25,1.84,1.03,6.59
3.74,0.93,1.69,6.51
2.64,2.56,0.16,6.5
4.98,1.3,0.08,6.43
2.57,1.58,2.06,6.41
2.55,1.56,1.29,6.39
4.34,1.35,0.06,6.36
3.7,1.97,0.09,6.34
4.01,1.26,0.87,6.31
0.07,6.21,0,6.28
3.92,1.78,0.03,6.24
4.05,1.62,0.07,6.24
3.54,1.9,0.07,6.11
2.41,2.28,0.28,5.99
0.66,0.69,4.35,5.84
2.49,2.05,0.16,5.65
2.97,0.69,1.81,5.58
2.54,1.95,0.21,5.57
2.95,0.6,1.97,5.55
3.28,1.65,0.07,5.55
2.99,1.92,0.1,5.51
3.14,1.24,0.91,5.49
2.62,1.64,0.99,5.47
3.21,1.11,0.95,5.46
3.18,1.24,0.94,5.45
2.72,1.87,0,5.43
2.18,0.96,2,5.34
3.02,1.12,1.01,5.31
3.13,1.71,0.03,5.3
3.33,0.79,1.09,5.27
3.1,1.56,0.08,5.27
1.22,2.48,1.03,5.26
2.43,2.15,0,5.2
2.93,1.25,0.83,5.2
2.32,1.3,1.27,5.19
2.49,0.98,1.57,5.19
1.9,1.83,0.95,5.17
2.1,0.74,2.2,5.15
0.96,2.02,1.89,5.15
2.71,0.61,1.7,5.13
3.59,1.11,0.05,5.13
3.21,1.53,0.01,5.13
3.22,1.69,0,5.12
2.66,2.01,0,5.08
1.7,2.02,0.16,5.08
3.4,1.3,0.15,5.07
3.42,1.38,0.02,5.02
2.59,1.06,0.8,5.02
3.06,1.18,0.29,5
3.49,0.01,0.01,4.98
1.85,1.2,1.54,4.96
2.91,0.99,0.89,4.88
2.62,0.6,1.52,4.85
2.56,1.68,0,4.83
1.91,2,0.09,4.83
3.05,1.41,0.02,4.68
1.87,1.12,1.32,4.68
2.08,2.04,0.06,4.64
3.06,1.12,0,4.62
2.42,0.91,1.15,4.61
2.6,0.99,0.89,4.6
1.78,1.39,1.1,4.58
1.55,1.15,1.44,4.57
3.19,0.92,0.01,4.53
4.21,0.24,0,4.5
